Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきだった,,,,,
,past continuous passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れていた,,,,,
,past passive conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたら,れば,れるなら,れると,,
,past passive desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたかった,,,,,
,past passive deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れるべきだった,,,,,
,past continuous causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていた,,,,,
,past resultant causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていった,せてあった,,,,
,past potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられた,,,,,
,past passive causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられた,,,,,
,past causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたら,せれば,せるなら,せると,,
,past causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたかった,,,,,
,past causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきだった,,,,,
,past conditional desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たかったら,,,,,
,past conditional deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきだったら,,,,,
,negative past desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たくなかった,,,,,
,negative continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていない,,,,,
,negative continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられない,,,,,
,negative continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられない,,,,,
,negative continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いなけらば,,,,,
,negative continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたくない,,,,,
,negative continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきでない,,,,,
,negative completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえない,,,,,
,negative completion passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれれない,,,,,
,negative completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわなければ,しまわなったら,,,,
,negative completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたくない,,,,,
,negative completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきでない,,,,,
,negative resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,なければ,あれあなければ,,,,
,negative potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なければ,なったら,ないなら,ないと,,
,negative potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たくない,,,,,
,negative potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきでない,,,,,
,negative continuous passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れていない,,,,,
