Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たかったです,,,,,
,past potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきだったです,,,,,
,past passive continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れていたです,らていました,,,,
,past passive conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたら,れば,れるなら,れると,,
,past passive desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたかったです,,,,,
,past passive deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れるべきだったです,,,,,
,past causative continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたです,せていました,,,,
,past causative resultant,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていったです,せてあったです,,,,
,past causative potential,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたです,せられました,,,,
,past causative passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられた,せられました,,,,
,past causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたら,せれば,せるなら,せると,,
,past causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたかったです,,,,,
,past causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきだったです,,,,,
,past conditional desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たかったら,,,,,
,past conditional deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきだったら,,,,,
,past desiderative negative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たくなかったです,,,,,
,negative continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていないです,しまっていません,,,,
,negative continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられないです,いられません,,,,
,negative continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられないです,いられません,,,,
,negative continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いなけらば,,,,,
,negative continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたくないです,,,,,
,negative continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきでないです,,,,,
,negative completion potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえないです,しまえません,,,,
,negative completion passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれれないです,しまわれれません,,,,
